postcode,ladcd,inferred_postcode_dist_m,price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
SW7 5BD,E09000020,26.959162474718056,1842.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,33.909595
SW7 5BD,E09000020,26.959162474718056,5521.0,2,2,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,
SW7 5BD,E09000020,26.959162474718056,1863.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,
W8 7DT,E09000020,15.317557461010553,1900.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,47.566336
SW5 0DE,E09000020,21.04018232465388,1950.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,45.52247
SW5 0DE,E09000020,21.04018232465388,1950.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,1950.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,1950.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,,
SW5 0DE,E09000020,21.04018232465388,1950.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,1950.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,49.331493
SW5 0DE,E09000020,21.04018232465388,1950.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
W8 7DT,E09000020,15.317557461010553,4030.0,2,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,62.24501
SW5 0DE,E09000020,21.04018232465388,1950.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,1950.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,1993.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,,
SW5 0DE,E09000020,21.04018232465388,1993.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,44.965052
W14 8SB,E09000013,41.325366750603976,1993.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,1993.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,,
W8 7DT,E09000020,15.317557461010553,1994.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,39.112163
SW5 0DE,E09000020,21.04018232465388,1995.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,,
SW5 0DE,E09000020,21.04018232465388,1998.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,,
SW5 0DE,E09000020,21.04018232465388,1998.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
W8 7DT,E09000020,15.317557461010553,1998.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,,
W14 8SB,E09000013,41.325366750603976,2000.0,2,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,False,44.314731
SW3 4BP,E09000020,28.396313422833675,9317.0,2,2,flat,51.487943556899396,-0.1646057674546454,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2000.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,36.139267
SW5 0DE,E09000020,21.04018232465388,2002.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,38.740551
W8 7DT,E09000020,15.317557461010553,2058.0,2,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,
W8 7DT,E09000020,15.317557461010553,2059.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,32.51605
SW5 0DE,E09000020,21.04018232465388,2059.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,42.73538
SW7 5BD,E09000020,26.959162474718056,2059.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,43.199895
SW5 0DE,E09000020,21.04018232465388,2059.0,2,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,49.23859
W8 7DT,E09000020,15.317557461010553,2080.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,,
W14 8SB,E09000013,41.325366750603976,2097.0,2,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,2100.0,2,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,48.030851
W8 7DT,E09000020,15.317557461010553,2100.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,36.975394
W8 7DT,E09000020,15.317557461010553,2100.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,24.990907
W8 7DT,E09000020,15.317557461010553,9945.0,3,3,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,
SW7 5BD,E09000020,26.959162474718056,2102.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2145.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,44.965052
