name,lat,lon,railway,station,public_transport,network,line
Latimer Road,51.5134749,-0.2177873,station,subway,station,London Underground,Hammersmith & City;Circle
Kilburn Park,51.5350704,-0.1943721,station,subway,station,London Underground,Bakerloo
Royal Oak,51.5190222,-0.1874439,station,subway,station,London Underground,Circle;Hammersmith & City
Bayswater,51.5122764,-0.1883854,station,subway,station,London Underground,Circle;District
High Street Kensington,51.5002995,-0.1921096,station,subway,station,London Underground,Circle;District
Gloucester Road,51.4945266,-0.1837696,station,subway,station,London Underground,Circle;District;Piccadilly
Marble Arch,51.513435,-0.1582531,station,subway,station,London Underground,Central
Great Portland Street,51.5238146,-0.1437048,station,subway,station,London Underground,Circle;Metropolitan;Hammersmith & City
Warren Street,51.5247178,-0.1385303,station,subway,station,London Underground,Northern;Victoria
Goodge Street,51.5205978,-0.1343573,station,subway,station,London Underground,Northern
Highbury & Islington,51.5463679,-0.1036544,station,subway,station,National Rail;London Underground;London Overground,Mildmay;Victoria;Windrush;Great Northern
Willesden Green,51.5493524,-0.222223,station,subway,station,London Underground,Jubilee
Kilburn,51.5469889,-0.2053385,station,subway,station,London Underground,Jubilee
West Acton,51.5183524,-0.280413,station,subway,station,London Underground,Central
Richmond,51.4632072,-0.3004127,station,subway,station,National Rail;London Underground;London Overground,District
Gunnersbury,51.4913757,-0.2755244,station,subway,station,London Underground;London Overground,District
Stonebridge Park,51.5441099,-0.2762285,station,subway,station,London Underground;London Overground,Bakerloo
Willesden Junction,51.5321956,-0.2435041,station,train;subway,station,London Underground;London Overground,Bakerloo;Mildmay;Lioness
Dollis Hill,51.5519333,-0.2390026,station,subway,station,London Underground,Jubilee
Westbourne Park,51.5209265,-0.2014098,station,subway,station,London Underground,Hammersmith & City;Circle
Kew Gardens,51.4771341,-0.284962,station,subway,station,London Underground;London Overground,District
Barking,51.5402677,0.0793235,station,subway,station,National Rail;London Underground;London Overground,District;Hammersmith & City
Ladbroke Grove,51.5172639,-0.2111019,station,subway,station,London Underground,Circle;Hammersmith & City
Upney,51.538266,0.099626,station,subway,station,London Underground,District
Queen's Park,51.533873,-0.2054958,station,subway,station,London Underground;London Overground,Bakerloo
Tottenham Hale,51.588123,-0.0599442,station,subway,station,National Rail;London Underground,Victoria
Holland Park,51.5071908,-0.2055243,station,subway,station,London Underground,Central
Euston Square,51.5256866,-0.1355703,station,subway,station,London Underground,Metropolitan;Circle;Hammersmith & City
Wanstead,51.575646,0.0286373,station,subway,station,London Underground,Central
Queensway,51.5104729,-0.1872329,station,subway,station,London Underground,Central
Regent's Park,51.5236277,-0.1466357,station,subway,station,London Underground,Bakerloo
Maida Vale,51.5297928,-0.1857906,station,subway,station,London Underground,Bakerloo
Wood Green,51.597416,-0.1097795,station,subway,station,London Underground,Piccadilly
Manor House,51.5703208,-0.0963971,station,subway,station,London Underground,Piccadilly
Borough,51.5011444,-0.0932926,station,subway,station,London Underground,Northern
Bethnal Green,51.5272449,-0.054752,station,subway,station,London Underground,Central
Wembley Central,51.5523278,-0.2966751,station,subway,station,National Rail;London Underground;London Overground,Bakerloo
Nine Elms,51.4801837,-0.1296937,station,subway,station,London Underground,Northern
Battersea Power Station,51.4796154,-0.1429709,station,subway,station,London Underground,Northern
Bond Street,51.5135348,-0.1470905,station,,station,Elizabeth line,
