price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
1100.0,1,1,flat,51.58738645841519,-0.2237475939751146,2025-11-24,2025-12-24,False,
3650.0,4,2,flat,51.55257703591954,-0.17320251077586207,2025-11-24,2025-12-24,True,
2492.0,1,1,flat,51.51427735651172,-0.18967870265078754,2025-11-24,2025-12-24,True,33.723789
1582.0,1,1,flat,51.55944741702293,-0.21831884492809947,2025-11-24,2025-12-24,True,
3649.0,2,2,flat,51.476676133597884,-0.13268082076719578,2025-11-24,2025-12-24,True,0.092903
3012.0,2,2,flat,51.47743543582988,-0.20040995747083173,2025-11-24,2025-12-24,True,
1700.0,1,1,flat,51.492469131909544,-0.2311194302763819,2025-11-24,2025-12-24,True,
2300.0,3,1,house,51.5759843590203,-0.35439343130226997,2025-11-24,2025-12-24,True,
2750.0,2,2,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,True,
7367.0,2,2,flat,51.50041303916273,-0.19542366306549627,2025-11-24,2025-12-24,False,
1350.0,1,1,flat,51.58049636607143,-0.08655410064935065,2025-11-24,2025-12-24,False,
3501.0,2,2,flat,51.47743543582988,-0.20040995747083173,2025-11-24,2025-12-24,False,
2950.0,2,2,flat,51.52139893358633,-0.1035879184060721,2025-11-24,2025-12-24,True,
2500.0,2,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,True,
1825.0,1,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,False,
2145.0,2,1,flat,51.55154824801061,-0.1447702851458886,2025-11-24,2025-12-24,True,8.082561
3467.0,2,2,flat,51.48856282182438,-0.09473586956521739,2025-11-24,2025-12-24,True,
3012.0,1,1,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,False,
2100.0,2,1,flat,51.49543283129771,-0.21118051679389313,2025-11-24,2025-12-24,True,
5090.0,2,1,flat,51.51121373953885,-0.150860073441503,2025-11-24,2025-12-24,True,60.38695
1775.0,1,1,flat,51.523131379234975,-0.08796123825136612,2025-11-24,2025-12-24,False,
3800.0,2,2,flat,51.537578291428574,-0.09824299628571428,2025-11-24,2025-12-24,False,
4550.0,3,2,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,True,
850.0,1,2,flat,51.50949878888889,-0.2397802619883041,2025-11-24,2025-12-24,True,
2000.0,3,2,house,51.43918425854879,-0.40350365054211845,2025-11-24,2025-12-24,False,70.513377
2450.0,3,1,house,51.55854584270242,-0.2899978896338319,2025-11-24,2025-12-24,False,
5975.0,3,2,flat,51.55944741702293,-0.21831884492809947,2025-11-24,2025-12-24,True,
3250.0,2,1,flat,51.461598946068875,-0.1372472794022092,2025-11-24,2025-12-24,True,
4996.0,4,2,house,51.539223795265904,-0.24892211558561328,2025-11-24,2025-12-24,,
4498.0,2,2,flat,51.512659474489794,-0.07978143877551021,2025-11-24,2025-12-24,False,
4000.0,2,2,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,
3298.0,2,1,flat,51.48966819650067,-0.18958200269179004,2025-11-24,2025-12-24,True,
1900.0,2,1,flat,51.6004225227656,-0.19411003288364248,2025-11-24,2025-12-24,True,
1550.0,1,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,True,
2600.0,2,2,flat,51.498221639357645,-0.09035713554708764,2025-11-24,2025-12-24,True,
1900.0,4,1,house,51.536496094567404,-0.47815880080482903,2025-11-24,2025-12-24,False,
3650.0,4,2,house,51.45047920681145,-0.19152079072063177,2025-11-24,2025-12-24,True,
4000.0,4,2,flat,51.55944741702293,-0.21831884492809947,2025-11-24,2025-12-24,True,
3432.0,1,1,flat,51.55257703591954,-0.17320251077586207,2025-11-24,2025-12-24,False,54.998576
8450.0,3,2,flat,51.49650520565371,-0.17651378798586573,2025-11-24,2025-12-24,False,
4500.0,2,2,flat,51.512659474489794,-0.07978143877551021,2025-11-24,2025-12-24,True,
1842.0,1,1,flat,51.5098252,-0.1253347111111111,2025-11-24,2025-12-24,False,
1700.0,4,2,house,51.52314565846154,-0.40865685333333335,2025-11-24,2025-12-24,False,
2700.0,4,1,house,51.50493956899489,-0.4214537614991482,2025-11-24,2025-12-24,False,
7410.0,5,3,flat,51.53176616828676,-0.17474745929526125,2025-11-24,2025-12-24,True,0.092903
3467.0,3,1,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,,
4700.0,3,2,flat,51.51222238026125,-0.3040190430575714,2025-11-24,2025-12-24,,
2000.0,3,1,house,51.50493956899489,-0.4214537614991482,2025-11-24,2025-12-24,False,
3000.0,2,1,flat,51.55257703591954,-0.17320251077586207,2025-11-24,2025-12-24,True,68.376608
3750.0,2,2,flat,51.51997437288136,-0.09631664406779661,2025-11-24,2025-12-24,True,
2000.0,1,1,flat,51.530220040523695,-0.062184497506234414,2025-11-24,2025-12-24,True,
1750.0,1,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,False,
2300.0,1,1,house,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,True,
2383.0,1,1,flat,51.51427735651172,-0.18967870265078754,2025-11-24,2025-12-24,True,
1700.0,2,1,flat,51.54721439139559,-0.4556332980062959,2025-11-24,2025-12-24,False,
1550.0,2,1,flat,51.536496094567404,-0.47815880080482903,2025-11-24,2025-12-24,False,
10010.0,4,3,flat,51.53176616828676,-0.17474745929526125,2025-11-24,2025-12-24,True,0.185806
1600.0,2,1,flat,51.506986093429155,-0.4713399445585216,2025-11-24,2025-12-24,False,
3700.0,2,2,flat,51.498221639357645,-0.09035713554708764,2025-11-24,2025-12-24,True,74.97272099999999
2500.0,2,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,False,
3445.0,3,2,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,True,
1993.0,2,1,flat,51.461598946068875,-0.1372472794022092,2025-11-24,2025-12-24,True,
1750.0,1,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,False,
2149.0,1,1,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,
2650.0,2,1,flat,51.45148148834355,-0.30283279509202454,2025-11-24,2025-12-24,False,
2297.0,1,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,,
1200.0,1,1,flat,51.50493956899489,-0.4214537614991482,2025-11-24,2025-12-24,False,
3500.0,2,2,flat,51.523131379234975,-0.08796123825136612,2025-11-24,2025-12-24,True,
